row_index,gold,pred,raw_pred_for_metrics,is_correct
0,Pass,Pass,Pass,True
1,Pass,Pass,Pass,True
2,Withdrawn,Fail,Fail,False
3,Withdrawn,Distinction,Distinction,False
4,Withdrawn,Pass,Pass,False
5,Fail,Pass,Pass,False
6,Fail,Pass,Pass,False
7,Withdrawn,Pass,Pass,False
8,Pass,Pass,Pass,True
9,Fail,Pass,Pass,False
10,Withdrawn,Fail,Fail,False
11,Fail,Pass,Pass,False
12,Withdrawn,Pass,Pass,False
13,Pass,Pass,Pass,True
14,Withdrawn,Pass,Pass,False
15,Pass,Pass,Pass,True
16,Pass,Pass,Pass,True
17,Pass,Pass,Pass,True
18,Withdrawn,Pass,Pass,False
19,Withdrawn,Fail,Fail,False
20,Pass,Pass,Pass,True
21,Withdrawn,Fail,Fail,False
22,Pass,Pass,Pass,True
23,Pass,Pass,Pass,True
24,Withdrawn,Pass,Pass,False
25,Withdrawn,Pass,Pass,False
26,Pass,Pass,Pass,True
27,Pass,Pass,Pass,True
28,Distinction,Distinction,Distinction,True
29,Withdrawn,Fail,Fail,False
30,Pass,Pass,Pass,True
31,Withdrawn,Pass,Pass,False
32,Fail,Pass,Pass,False
33,Fail,Fail,Fail,True
34,Distinction,Pass,Pass,False
35,Pass,Pass,Pass,True
36,Fail,Pass,Pass,False
37,Pass,Pass,Pass,True
38,Distinction,Pass,Pass,False
39,Pass,Pass,Pass,True
40,Pass,Pass,Pass,True
41,Pass,Pass,Pass,True
42,Pass,Pass,Pass,True
43,Fail,Pass,Pass,False
44,Pass,Pass,Pass,True
45,Pass,Pass,Pass,True
46,Pass,Distinction,Distinction,False
47,Fail,Pass,Pass,False
48,Fail,Pass,Pass,False
49,Pass,Pass,Pass,True
50,Withdrawn,Pass,Pass,False
51,Pass,Pass,Pass,True
52,Fail,Pass,Pass,False
53,Withdrawn,Pass,Pass,False
54,Pass,Pass,Pass,True
55,Fail,Pass,Pass,False
56,Withdrawn,Pass,Pass,False
57,Pass,Pass,Pass,True
58,Withdrawn,Pass,Pass,False
59,Pass,Pass,Pass,True
60,Distinction,Pass,Pass,False
61,Pass,Pass,Pass,True
